"Name","Citizenship"
"Description","Native Citizen: Individuals who were born in the United States, Puerto Rico, a U.S. Island Area (such as Guam), or abroad of American (U.S. citizen) parent or parents are considered U.S. citizens at birth.<br />
Naturalized Citizens: Foreign-born individuals&nbsp;who are U.S. citizens through naturalization.&nbsp;<br />
Non-Citizens:&nbsp; Individuals who are not currently citizens of the U.S."
"Source Notes","<span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span><span style=""font-family: GestaCond-Regular, GestaCond-Regular, Tahoma, Arial, sans-serif; color: #333333;""></span>U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B05002 (2005-2023); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes","<normal>Percents refer&nbsp;to the share of the total population for that year.&nbsp;<br />
<br />
<span style=""background-color: #ffffff; border: 0px; font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; margin: 0px; padding: 0px; vertical-align: baseline;"">We do not report 2020 American Community Survey 1-year estimates. Due to disruptions and biases in data collection during 2020, the Census Bureau released the &ldquo;experimental&rdquo; 1-year estimates for 2020 and advises against comparing against estimates from prior or future years.<span style=""font-variant: inherit; font-weight: inherit; font-stretch: inherit; line-height: inherit; border: 0px; margin: 0px; padding: 0px; vertical-align: baseline; color: inherit;"">&nbsp;<br />
</span></span><br />
Please note that the citizenship question on the American Community Survey (ACS) has seen higher levels of non-response in recent years. In New York State, the share of ACS respondents who skipped this question exceeded 8% in 2018 &mdash; greater than for any other demographic questions. For this reason, while the data remain reliable, the <em>number</em>&nbsp;values should be interpreted with caution; for smaller estimates at the community district level, the average margin of error was 13% of the estimated value for 2018 data.</normal><br />
<br />
For more information:<br />
<blockquote style=""margin: 0px 0px 0px 40px; border: none; padding: 0px;"">O'Hare, W. (2018). ""Citizenship Question Nonresponse: A Demographic Profile of People Who Do Not Answer the American Community Survey Citizenship Question."" <em>Center on Poverty and Inequality at Georgetown Law</em>. Retrieved from:&nbsp;<a href=""http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf"">http://www.georgetownpoverty.org/wp-content/uploads/2018/09/GCPI-ESOI-Demographic-Profile-of-People-Who-Do-Not-Respond-to-the-Citizenship-Question-20180906.pdf</a></blockquote>"
Concourse/Highbridge,Native Citizen,2011,Number,87166,204
Unionport/Soundview,Native Citizen,2011,Number,118775,209
Mott Haven,Native Citizen,2011,Number,69981.5864,201
Hunts Point,Native Citizen,2011,Number,39960.4136,202
Washington Heights,Native Citizen,2011,Number,110334,112
Manhattanville,Native Citizen,2011,Number,89900,109
Central Harlem,Native Citizen,2011,Number,93110,110
East Harlem,Native Citizen,2011,Number,89875,111
Upper East Side,Native Citizen,2011,Number,165417,108
Upper West Side,Native Citizen,2011,Number,151694,107
Chelsea/Clinton,Native Citizen,2011,Number,70605.64321,104
Midtown Business District,Native Citizen,2011,Number,35337.35679,105
Murray Hill/Stuyvesant,Native Citizen,2011,Number,116509,106
Lower East Side,Native Citizen,2011,Number,103655,103
Battery Park/Tribeca,Native Citizen,2011,Number,46113.31515,101
Greenwich Village,Native Citizen,2011,Number,68072.68485,102
Tottenville,Native Citizen,2011,Number,145677,503
South Beach,Native Citizen,2011,Number,91649,502
St. George,Native Citizen,2011,Number,134701,501
Williamsburg/Greenpoint,Native Citizen,2011,Number,109415,301
Bushwick,Native Citizen,2011,Number,89996,304
Bedford Stuyvesant,Native Citizen,2011,Number,107284,303
Fort Greene/Brooklyn Hts,Native Citizen,2011,Number,95548,302
Park Slope,Native Citizen,2011,Number,91316,306
Crown Heights North,Native Citizen,2011,Number,85319,308
Brownsville,Native Citizen,2011,Number,90659,316
East New York,Native Citizen,2011,Number,96790,305
Canarsie,Native Citizen,2011,Number,118252,318
East Flatbush,Native Citizen,2011,Number,63402,317
Crown Heights South,Native Citizen,2011,Number,62199,309
Sunset Park,Native Citizen,2011,Number,84917,307
Bay Ridge,Native Citizen,2011,Number,83212,310
Borough Park,Native Citizen,2011,Number,112128,312
Flatbush/Midwood,Native Citizen,2011,Number,89667,314
Sheepshead Bay,Native Citizen,2011,Number,77367,315
Bensonhurst,Native Citizen,2011,Number,83068,311
Coney Island,Native Citizen,2011,Number,45595,313
Astoria,Native Citizen,2011,Number,98762,401
Jackson Heights,Native Citizen,2011,Number,68946,403
Flushing,Native Citizen,2011,Number,106925,407
Bayside,Native Citizen,2011,Number,68516,411
Queens Village,Native Citizen,2011,Number,117574,413
Fresh Meadows/Briarwood,Native Citizen,2011,Number,80482,408
Elmhurst/Corona,Native Citizen,2011,Number,40815,404
Rego Park/Forest Hills,Native Citizen,2011,Number,55534,406
Sunnyside/Woodside,Native Citizen,2011,Number,53453,402
Ridgewood/Glendale,Native Citizen,2011,Number,104980,405
Woodhaven,Native Citizen,2011,Number,79541,409
Jamaica/St. Albans,Native Citizen,2011,Number,136529,412
Howard Beach,Native Citizen,2011,Number,70793,410
The Rockaways,Native Citizen,2011,Number,75811,414
Bronx,Native Citizen,2011,Number,920866,36005
Brooklyn,Native Citizen,2011,Number,1586134,36047
Manhattan,Native Citizen,2011,Number,1140623,36061
Queens,Native Citizen,2011,Number,1158661,36081
Staten Island,Native Citizen,2011,Number,372027,36085
New York City,Native Citizen,2011,Number,5178311,3651000
Riverdale,Native Citizen,2011,Percent,0.6857,208
Williamsbridge,Native Citizen,2011,Percent,0.60458,212
Throgs Neck,Native Citizen,2011,Percent,0.81537,210
Pelham Parkway,Native Citizen,2011,Percent,0.66103,211
Morrisania,Native Citizen,2011,Percent,0.68699,203
East Tremont,Native Citizen,2011,Percent,0.68699,206
Bedford Park,Native Citizen,2011,Percent,0.59862,207
University Heights,Native Citizen,2011,Percent,0.58002,205
Concourse/Highbridge,Native Citizen,2011,Percent,0.61546,204
Unionport/Soundview,Native Citizen,2011,Percent,0.64997,209
Mott Haven,Native Citizen,2011,Percent,0.7231,201
Hunts Point,Native Citizen,2011,Percent,0.7231,202
Washington Heights,Native Citizen,2011,Percent,0.52479,112
Manhattanville,Native Citizen,2011,Percent,0.64903,109
Central Harlem,Native Citizen,2011,Percent,0.75378,110
East Harlem,Native Citizen,2011,Percent,0.72841,111
Upper East Side,Native Citizen,2011,Percent,0.78945,108
Upper West Side,Native Citizen,2011,Percent,0.78326,107
Chelsea/Clinton,Native Citizen,2011,Percent,0.7406,104
Midtown Business District,Native Citizen,2011,Percent,0.7406,105
Murray Hill/Stuyvesant,Native Citizen,2011,Percent,0.78852,106
Lower East Side,Native Citizen,2011,Percent,0.62528,103
Battery Park/Tribeca,Native Citizen,2011,Percent,0.77947,101
Greenwich Village,Native Citizen,2011,Percent,0.77947,102
Tottenville,Native Citizen,2011,Percent,0.84796,503
South Beach,Native Citizen,2011,Percent,0.73169,502
St. George,Native Citizen,2011,Percent,0.77677,501
Williamsburg/Greenpoint,Native Citizen,2011,Percent,0.75676,301
Bushwick,Native Citizen,2011,Percent,0.64856,304
Bedford Stuyvesant,Native Citizen,2011,Percent,0.80954,303
Fort Greene/Brooklyn Hts,Native Citizen,2011,Percent,0.80353,302
Park Slope,Native Citizen,2011,Percent,0.81484,306
Crown Heights North,Native Citizen,2011,Percent,0.67521,308
Brownsville,Native Citizen,2011,Percent,0.7195,316
East New York,Native Citizen,2011,Percent,0.66055,305
Canarsie,Native Citizen,2011,Percent,0.57657,318
East Flatbush,Native Citizen,2011,Percent,0.48297,317
Crown Heights South,Native Citizen,2011,Percent,0.54586,309
Sunset Park,Native Citizen,2011,Percent,0.55852,307
Bay Ridge,Native Citizen,2011,Percent,0.62598,310
Borough Park,Native Citizen,2011,Percent,0.69178,312
Flatbush/Midwood,Native Citizen,2011,Percent,0.55092,314
Sheepshead Bay,Native Citizen,2011,Percent,0.54029,315
Bensonhurst,Native Citizen,2011,Percent,0.45836,311
Coney Island,Native Citizen,2011,Percent,0.44548,313
Astoria,Native Citizen,2011,Percent,0.58036,401
Jackson Heights,Native Citizen,2011,Percent,0.37134,403
Flushing,Native Citizen,2011,Percent,0.43269,407
Bayside,Native Citizen,2011,Percent,0.57737,411
Queens Village,Native Citizen,2011,Percent,0.58599,413
Fresh Meadows/Briarwood,Native Citizen,2011,Percent,0.55723,408
Elmhurst/Corona,Native Citizen,2011,Percent,0.29602,404
Rego Park/Forest Hills,Native Citizen,2011,Percent,0.49615,406
Sunnyside/Woodside,Native Citizen,2011,Percent,0.41099,402
Ridgewood/Glendale,Native Citizen,2011,Percent,0.60557,405
Woodhaven,Native Citizen,2011,Percent,0.51213,409
Jamaica/St. Albans,Native Citizen,2011,Percent,0.58896,412
Howard Beach,Native Citizen,2011,Percent,0.53287,410
The Rockaways,Native Citizen,2011,Percent,0.70231,414
Bronx,Native Citizen,2011,Percent,0.66154,36005
Brooklyn,Native Citizen,2011,Percent,0.62628,36047
Manhattan,Native Citizen,2011,Percent,0.71202,36061
Queens,Native Citizen,2011,Percent,0.51545,36081
Staten Island,Native Citizen,2011,Percent,0.79076,36085
New York City,Native Citizen,2011,Percent,0.62806,3651000
Riverdale,Naturalized Citizen,2011,Number,15796,208
Williamsbridge,Naturalized Citizen,2011,Number,36888,212
Throgs Neck,Naturalized Citizen,2011,Number,14075,210
Pelham Parkway,Naturalized Citizen,2011,Number,21713,211
Morrisania,Naturalized Citizen,2011,Number,8651.36138,203
East Tremont,Naturalized Citizen,2011,Number,9031.63862,206
Bedford Park,Naturalized Citizen,2011,Number,20041,207
University Heights,Naturalized Citizen,2011,Number,18122,205
Concourse/Highbridge,Naturalized Citizen,2011,Number,21156,204
Unionport/Soundview,Naturalized Citizen,2011,Number,26722,209
Mott Haven,Naturalized Citizen,2011,Number,8541.62111,201
Hunts Point,Naturalized Citizen,2011,Number,4877.37889,202
Washington Heights,Naturalized Citizen,2011,Number,41185,112
Manhattanville,Naturalized Citizen,2011,Number,19619,109
Central Harlem,Naturalized Citizen,2011,Number,13426,110
East Harlem,Naturalized Citizen,2011,Number,13144,111
Upper East Side,Naturalized Citizen,2011,Number,20428,108
Upper West Side,Naturalized Citizen,2011,Number,20146,107
Chelsea/Clinton,Naturalized Citizen,2011,Number,11330.30536,104
Midtown Business District,Naturalized Citizen,2011,Number,5670.69464,105
Murray Hill/Stuyvesant,Naturalized Citizen,2011,Number,14020,106
Lower East Side,Naturalized Citizen,2011,Number,34706,103
Battery Park/Tribeca,Naturalized Citizen,2011,Number,5693.7946,101
Greenwich Village,Naturalized Citizen,2011,Number,8405.2054,102
Tottenville,Naturalized Citizen,2011,Number,20945,503
South Beach,Naturalized Citizen,2011,Number,22608,502
St. George,Naturalized Citizen,2011,Number,17778,501
Williamsburg/Greenpoint,Naturalized Citizen,2011,Number,15961,301
Bushwick,Naturalized Citizen,2011,Number,15285,304
Bedford Stuyvesant,Naturalized Citizen,2011,Number,12593,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2011,Number,11537,302
Park Slope,Naturalized Citizen,2011,Number,10752,306
Crown Heights North,Naturalized Citizen,2011,Number,20396,308
Brownsville,Naturalized Citizen,2011,Number,18119,316
East New York,Naturalized Citizen,2011,Number,29783,305
Canarsie,Naturalized Citizen,2011,Number,59624,318
East Flatbush,Naturalized Citizen,2011,Number,42060,317
Crown Heights South,Naturalized Citizen,2011,Number,27282,309
Sunset Park,Naturalized Citizen,2011,Number,22174,307
Bay Ridge,Naturalized Citizen,2011,Number,28213,310
Borough Park,Naturalized Citizen,2011,Number,25638,312
Flatbush/Midwood,Naturalized Citizen,2011,Number,39251,314
Sheepshead Bay,Naturalized Citizen,2011,Number,48890,315
Bensonhurst,Naturalized Citizen,2011,Number,54708,311
Coney Island,Naturalized Citizen,2011,Number,40568,313
Astoria,Naturalized Citizen,2011,Number,36360,401
Jackson Heights,Naturalized Citizen,2011,Number,40492,403
Flushing,Naturalized Citizen,2011,Number,71930,407
Bayside,Naturalized Citizen,2011,Number,34327,411
Queens Village,Naturalized Citizen,2011,Number,55299,413
Fresh Meadows/Briarwood,Naturalized Citizen,2011,Number,39576,408
Elmhurst/Corona,Naturalized Citizen,2011,Number,36360,404
Rego Park/Forest Hills,Naturalized Citizen,2011,Number,37984,406
Sunnyside/Woodside,Naturalized Citizen,2011,Number,35993,402
Ridgewood/Glendale,Naturalized Citizen,2011,Number,34255,405
Woodhaven,Naturalized Citizen,2011,Number,42013,409
Jamaica/St. Albans,Naturalized Citizen,2011,Number,52411,412
Howard Beach,Naturalized Citizen,2011,Number,37742,410
The Rockaways,Naturalized Citizen,2011,Number,17376,414
Bronx,Naturalized Citizen,2011,Number,205615,36005
Brooklyn,Naturalized Citizen,2011,Number,522834,36047
Manhattan,Naturalized Citizen,2011,Number,207774,36061
Queens,Naturalized Citizen,2011,Number,572118,36081
Staten Island,Naturalized Citizen,2011,Number,61331,36085
New York City,Naturalized Citizen,2011,Number,1569672,3651000
Riverdale,Naturalized Citizen,2011,Percent,0.1522,208
Williamsbridge,Naturalized Citizen,2011,Percent,0.25708,212
Throgs Neck,Naturalized Citizen,2011,Percent,0.11454,210
Pelham Parkway,Naturalized Citizen,2011,Percent,0.17821,211
Morrisania,Naturalized Citizen,2011,Percent,0.10254,203
East Tremont,Naturalized Citizen,2011,Percent,0.10254,206
Bedford Park,Naturalized Citizen,2011,Percent,0.17013,207
University Heights,Naturalized Citizen,2011,Percent,0.1359,205
Concourse/Highbridge,Naturalized Citizen,2011,Percent,0.14938,204
Unionport/Soundview,Naturalized Citizen,2011,Percent,0.14623,209
Mott Haven,Naturalized Citizen,2011,Percent,0.08826,201
Hunts Point,Naturalized Citizen,2011,Percent,0.08826,202
Washington Heights,Naturalized Citizen,2011,Percent,0.19589,112
Manhattanville,Naturalized Citizen,2011,Percent,0.14164,109
Central Harlem,Naturalized Citizen,2011,Percent,0.10869,110
East Harlem,Naturalized Citizen,2011,Percent,0.10653,111
Upper East Side,Naturalized Citizen,2011,Percent,0.09749,108
Upper West Side,Naturalized Citizen,2011,Percent,0.10402,107
Chelsea/Clinton,Naturalized Citizen,2011,Percent,0.11885,104
Midtown Business District,Naturalized Citizen,2011,Percent,0.11885,105
Murray Hill/Stuyvesant,Naturalized Citizen,2011,Percent,0.09489,106
Lower East Side,Naturalized Citizen,2011,Percent,0.20936,103
Battery Park/Tribeca,Naturalized Citizen,2011,Percent,0.09624,101
Greenwich Village,Naturalized Citizen,2011,Percent,0.09624,102
Tottenville,Naturalized Citizen,2011,Percent,0.12192,503
South Beach,Naturalized Citizen,2011,Percent,0.18049,502
St. George,Naturalized Citizen,2011,Percent,0.10252,501
Williamsburg/Greenpoint,Naturalized Citizen,2011,Percent,0.11039,301
Bushwick,Naturalized Citizen,2011,Percent,0.11015,304
Bedford Stuyvesant,Naturalized Citizen,2011,Percent,0.09502,303
Fort Greene/Brooklyn Hts,Naturalized Citizen,2011,Percent,0.09702,302
Park Slope,Naturalized Citizen,2011,Percent,0.09594,306
Crown Heights North,Naturalized Citizen,2011,Percent,0.16141,308
Brownsville,Naturalized Citizen,2011,Percent,0.1438,316
East New York,Naturalized Citizen,2011,Percent,0.20326,305
Canarsie,Naturalized Citizen,2011,Percent,0.29071,318
East Flatbush,Naturalized Citizen,2011,Percent,0.3204,317
Crown Heights South,Naturalized Citizen,2011,Percent,0.23943,309
Sunset Park,Naturalized Citizen,2011,Percent,0.14585,307
Bay Ridge,Naturalized Citizen,2011,Percent,0.21224,310
Borough Park,Naturalized Citizen,2011,Percent,0.15817,312
Flatbush/Midwood,Naturalized Citizen,2011,Percent,0.24116,314
Sheepshead Bay,Naturalized Citizen,2011,Percent,0.34142,315
Bensonhurst,Naturalized Citizen,2011,Percent,0.30188,311
Coney Island,Naturalized Citizen,2011,Percent,0.39636,313
Astoria,Naturalized Citizen,2011,Percent,0.21366,401
Jackson Heights,Naturalized Citizen,2011,Percent,0.21809,403
Flushing,Naturalized Citizen,2011,Percent,0.29108,407
Bayside,Naturalized Citizen,2011,Percent,0.28927,411
Queens Village,Naturalized Citizen,2011,Percent,0.27561,413
Fresh Meadows/Briarwood,Naturalized Citizen,2011,Percent,0.27401,408
Elmhurst/Corona,Naturalized Citizen,2011,Percent,0.26371,404
Rego Park/Forest Hills,Naturalized Citizen,2011,Percent,0.33935,406
Sunnyside/Woodside,Naturalized Citizen,2011,Percent,0.27674,402
Ridgewood/Glendale,Naturalized Citizen,2011,Percent,0.1976,405
Woodhaven,Naturalized Citizen,2011,Percent,0.2705,409
Jamaica/St. Albans,Naturalized Citizen,2011,Percent,0.22609,412
Howard Beach,Naturalized Citizen,2011,Percent,0.28409,410
The Rockaways,Naturalized Citizen,2011,Percent,0.16097,414
Bronx,Naturalized Citizen,2011,Percent,0.14771,36005
Brooklyn,Naturalized Citizen,2011,Percent,0.20644,36047
Manhattan,Naturalized Citizen,2011,Percent,0.1297,36061
Queens,Naturalized Citizen,2011,Percent,0.25452,36081
Staten Island,Naturalized Citizen,2011,Percent,0.13036,36085
New York City,Naturalized Citizen,2011,Percent,0.19038,3651000
Riverdale,Non-Citizens,2011,Number,16824,208
Williamsbridge,Non-Citizens,2011,Number,19849,212
Throgs Neck,Non-Citizens,2011,Number,8613,210
Pelham Parkway,Non-Citizens,2011,Number,19586,211
Morrisania,Non-Citizens,2011,Number,17757.23358,203
East Tremont,Non-Citizens,2011,Number,18537.76642,206
Bedford Park,Non-Citizens,2011,Number,27242,207
University Heights,Non-Citizens,2011,Number,37883,205
Concourse/Highbridge,Non-Citizens,2011,Number,33305,204
Unionport/Soundview,Non-Citizens,2011,Number,37243,209
Mott Haven,Non-Citizens,2011,Number,18256.37045,201
Hunts Point,Non-Citizens,2011,Number,10424.62955,202
Washington Heights,Non-Citizens,2011,Number,58726,112
Manhattanville,Non-Citizens,2011,Number,28996,109
Central Harlem,Non-Citizens,2011,Number,16988,110
East Harlem,Non-Citizens,2011,Number,20367,111
Upper East Side,Non-Citizens,2011,Number,23689,108
Upper West Side,Non-Citizens,2011,Number,21831,107
Chelsea/Clinton,Non-Citizens,2011,Number,13400.29703,104
Midtown Business District,Non-Citizens,2011,Number,6706.70297,105
Murray Hill/Stuyvesant,Non-Citizens,2011,Number,17228,106
Lower East Side,Non-Citizens,2011,Number,27413,103
Battery Park/Tribeca,Non-Citizens,2011,Number,7352.38134,101
Greenwich Village,Non-Citizens,2011,Number,10853.61866,102
Tottenville,Non-Citizens,2011,Number,5176,503
South Beach,Non-Citizens,2011,Number,11000,502
St. George,Non-Citizens,2011,Number,20933,501
Williamsburg/Greenpoint,Non-Citizens,2011,Number,19208,301
Bushwick,Non-Citizens,2011,Number,33482,304
Bedford Stuyvesant,Non-Citizens,2011,Number,12647,303
Fort Greene/Brooklyn Hts,Non-Citizens,2011,Number,11825,302
Park Slope,Non-Citizens,2011,Number,9998,306
Crown Heights North,Non-Citizens,2011,Number,20645,308
Brownsville,Non-Citizens,2011,Number,17224,316
East New York,Non-Citizens,2011,Number,19957,305
Canarsie,Non-Citizens,2011,Number,27219,318
East Flatbush,Non-Citizens,2011,Number,25812,317
Crown Heights South,Non-Citizens,2011,Number,24466,309
Sunset Park,Non-Citizens,2011,Number,44947,307
Bay Ridge,Non-Citizens,2011,Number,21506,310
Borough Park,Non-Citizens,2011,Number,24321,312
Flatbush/Midwood,Non-Citizens,2011,Number,33842,314
Sheepshead Bay,Non-Citizens,2011,Number,16939,315
Bensonhurst,Non-Citizens,2011,Number,43451,311
Coney Island,Non-Citizens,2011,Number,16188,313
Astoria,Non-Citizens,2011,Number,35052,401
Jackson Heights,Non-Citizens,2011,Number,76229,403
Flushing,Non-Citizens,2011,Number,68261,407
Bayside,Non-Citizens,2011,Number,15826,411
Queens Village,Non-Citizens,2011,Number,27767,413
Fresh Meadows/Briarwood,Non-Citizens,2011,Number,24373,408
Elmhurst/Corona,Non-Citizens,2011,Number,60704,404
Rego Park/Forest Hills,Non-Citizens,2011,Number,18412,406
Sunnyside/Woodside,Non-Citizens,2011,Number,40613,402
Ridgewood/Glendale,Non-Citizens,2011,Number,34122,405
Woodhaven,Non-Citizens,2011,Number,33761,409
Jamaica/St. Albans,Non-Citizens,2011,Number,42873,412
Howard Beach,Non-Citizens,2011,Number,24318,410
The Rockaways,Non-Citizens,2011,Number,14758,414
Bronx,Non-Citizens,2011,Number,265521,36005
Brooklyn,Non-Citizens,2011,Number,423677,36047
Manhattan,Non-Citizens,2011,Number,253551,36061
Queens,Non-Citizens,2011,Number,517069,36081
Staten Island,Non-Citizens,2011,Number,37109,36085
New York City,Non-Citizens,2011,Number,1496927,3651000
Riverdale,Non-Citizens,2011,Percent,0.1621,208
Williamsbridge,Non-Citizens,2011,Percent,0.13833,212
Throgs Neck,Non-Citizens,2011,Percent,0.07009,210
Pelham Parkway,Non-Citizens,2011,Percent,0.16076,211
Morrisania,Non-Citizens,2011,Percent,0.21047,203
East Tremont,Non-Citizens,2011,Percent,0.21047,206
Bedford Park,Non-Citizens,2011,Percent,0.23126,207
University Heights,Non-Citizens,2011,Percent,0.28408,205
Concourse/Highbridge,Non-Citizens,2011,Percent,0.23516,204
Unionport/Soundview,Non-Citizens,2011,Percent,0.2038,209
Mott Haven,Non-Citizens,2011,Percent,0.18864,201
Hunts Point,Non-Citizens,2011,Percent,0.18864,202
Washington Heights,Non-Citizens,2011,Percent,0.27932,112
Manhattanville,Non-Citizens,2011,Percent,0.20933,109
Central Harlem,Non-Citizens,2011,Percent,0.13753,110
East Harlem,Non-Citizens,2011,Percent,0.16507,111
Upper East Side,Non-Citizens,2011,Percent,0.11306,108
Upper West Side,Non-Citizens,2011,Percent,0.11272,107
Chelsea/Clinton,Non-Citizens,2011,Percent,0.14056,104
Midtown Business District,Non-Citizens,2011,Percent,0.14056,105
Murray Hill/Stuyvesant,Non-Citizens,2011,Percent,0.1166,106
Lower East Side,Non-Citizens,2011,Percent,0.16536,103
Battery Park/Tribeca,Non-Citizens,2011,Percent,0.12428,101
Greenwich Village,Non-Citizens,2011,Percent,0.12428,102
Tottenville,Non-Citizens,2011,Percent,0.03013,503
South Beach,Non-Citizens,2011,Percent,0.08782,502
St. George,Non-Citizens,2011,Percent,0.12071,501
Williamsburg/Greenpoint,Non-Citizens,2011,Percent,0.13285,301
Bushwick,Non-Citizens,2011,Percent,0.24129,304
Bedford Stuyvesant,Non-Citizens,2011,Percent,0.09543,303
Fort Greene/Brooklyn Hts,Non-Citizens,2011,Percent,0.09944,302
Park Slope,Non-Citizens,2011,Percent,0.08922,306
Crown Heights North,Non-Citizens,2011,Percent,0.16338,308
Brownsville,Non-Citizens,2011,Percent,0.1367,316
East New York,Non-Citizens,2011,Percent,0.1362,305
Canarsie,Non-Citizens,2011,Percent,0.13271,318
East Flatbush,Non-Citizens,2011,Percent,0.19663,317
Crown Heights South,Non-Citizens,2011,Percent,0.21471,309
Sunset Park,Non-Citizens,2011,Percent,0.29563,307
Bay Ridge,Non-Citizens,2011,Percent,0.16178,310
Borough Park,Non-Citizens,2011,Percent,0.15005,312
Flatbush/Midwood,Non-Citizens,2011,Percent,0.20793,314
Sheepshead Bay,Non-Citizens,2011,Percent,0.11829,315
Bensonhurst,Non-Citizens,2011,Percent,0.23976,311
Coney Island,Non-Citizens,2011,Percent,0.15816,313
Astoria,Non-Citizens,2011,Percent,0.20598,401
Jackson Heights,Non-Citizens,2011,Percent,0.41057,403
Flushing,Non-Citizens,2011,Percent,0.27623,407
Bayside,Non-Citizens,2011,Percent,0.13336,411
Queens Village,Non-Citizens,2011,Percent,0.13839,413
Fresh Meadows/Briarwood,Non-Citizens,2011,Percent,0.16875,408
Elmhurst/Corona,Non-Citizens,2011,Percent,0.44027,404
Rego Park/Forest Hills,Non-Citizens,2011,Percent,0.1645,406
Sunnyside/Woodside,Non-Citizens,2011,Percent,0.31227,402
Ridgewood/Glendale,Non-Citizens,2011,Percent,0.19683,405
Woodhaven,Non-Citizens,2011,Percent,0.21737,409
Jamaica/St. Albans,Non-Citizens,2011,Percent,0.18495,412
Howard Beach,Non-Citizens,2011,Percent,0.18304,410
The Rockaways,Non-Citizens,2011,Percent,0.13672,414
Bronx,Non-Citizens,2011,Percent,0.19075,36005
Brooklyn,Non-Citizens,2011,Percent,0.16729,36047
Manhattan,Non-Citizens,2011,Percent,0.15828,36061
Queens,Non-Citizens,2011,Percent,0.23003,36081
Staten Island,Non-Citizens,2011,Percent,0.07888,36085
New York City,Non-Citizens,2011,Percent,0.18156,3651000
Riverdale,Native Citizen,2012,Number,70105,208
Williamsbridge,Native Citizen,2012,Number,89214,212
Throgs Neck,Native Citizen,2012,Number,95086,210
Pelham Parkway,Native Citizen,2012,Number,87575,211
Morrisania,Native Citizen,2012,Number,56518.83558,203
East Tremont,Native Citizen,2012,Number,59003.16442,206
Bedford Park,Native Citizen,2012,Number,75056,207
University Heights,Native Citizen,2012,Number,74652,205
Concourse/Highbridge,Native Citizen,2012,Number,79957,204
Unionport/Soundview,Native Citizen,2012,Number,120849,209
Mott Haven,Native Citizen,2012,Number,70973.93958,201
Hunts Point,Native Citizen,2012,Number,40527.06042,202
Washington Heights,Native Citizen,2012,Number,107993,112
Manhattanville,Native Citizen,2012,Number,85389,109
Central Harlem,Native Citizen,2012,Number,106726,110
East Harlem,Native Citizen,2012,Number,89923,111
Upper East Side,Native Citizen,2012,Number,166658,108
Upper West Side,Native Citizen,2012,Number,160658,107
Chelsea/Clinton,Native Citizen,2012,Number,70963.52651,104
Midtown Business District,Native Citizen,2012,Number,35516.47349,105
Murray Hill/Stuyvesant,Native Citizen,2012,Number,108517,106
Lower East Side,Native Citizen,2012,Number,107221,103
Battery Park/Tribeca,Native Citizen,2012,Number,45106.12856,101
Greenwich Village,Native Citizen,2012,Number,66585.87144,102
